customer_id,treated,converted,tenure_months,avg_workouts_week,streak_active,support_tickets_30d,plan_type
C00209,0,1,60.0,6.0,0,1,monthly
C00210,1,1,60.0,2.6,0,0,annual
C00211,1,1,60.0,1.4,0,0,annual
C00212,0,1,60.0,6.2,1,1,annual
C00213,0,0,60.0,1.9,1,0,monthly
C00214,0,0,60.0,2.8,0,1,annual
C00215,1,1,60.0,3.8,1,0,monthly
C00216,1,1,60.0,4.7,0,1,monthly
C00217,0,1,60.0,6.2,0,0,annual
C00218,0,1,60.0,2.2,1,2,annual
C00219,1,0,60.0,2.0,0,0,monthly
C00220,0,1,60.0,3.3,0,0,monthly
C00221,1,0,60.0,4.2,0,1,annual
C00222,0,0,60.0,3.3,1,2,annual
C00223,0,0,50.5,1.7,1,0,monthly
C00224,1,1,60.0,6.4,1,2,monthly
C00225,1,0,60.0,3.7,1,1,annual
C00226,0,0,60.0,7.9,0,0,monthly
C00227,0,1,58.8,9.1,1,1,monthly
C00228,1,1,60.0,0.9,0,0,monthly
C00229,0,0,56.8,2.9,1,0,monthly
C00230,1,1,60.0,1.5,1,0,monthly
C00231,1,1,60.0,3.3,0,2,annual
C00232,0,0,60.0,1.6,0,2,monthly
C00233,1,1,60.0,0.8,1,0,monthly
C00234,0,0,60.0,4.8,0,2,monthly
C00235,1,0,46.3,5.1,0,2,monthly
C00236,1,0,60.0,2.9,0,2,monthly
C00237,1,0,60.0,3.6,1,1,monthly
C00238,1,1,53.3,7.6,1,0,annual
C00239,1,1,60.0,0.5,1,1,annual
C00240,1,1,56.3,1.1,1,0,monthly
C00241,1,0,53.1,3.7,1,0,monthly
C00242,0,1,46.9,0.8,0,0,monthly
C00243,0,0,51.5,0.8,0,0,monthly
C00244,0,1,60.0,1.7,1,1,monthly
C00245,0,0,60.0,2.0,1,1,annual
C00246,1,1,60.0,1.1,1,0,monthly
C00247,0,1,58.0,3.3,1,2,annual
C00248,1,0,60.0,2.4,1,2,monthly
C00249,0,1,60.0,1.8,1,1,annual
C00250,1,0,60.0,9.9,0,1,monthly
C00251,1,0,60.0,1.0,0,0,monthly
C00252,1,1,60.0,1.6,1,3,annual
C00253,1,0,44.3,2.2,0,1,annual
C00254,0,1,41.2,3.7,1,3,monthly
C00255,0,1,60.0,5.2,0,1,annual
C00256,0,1,60.0,0.6,1,0,monthly
C00257,0,1,60.0,5.0,1,0,monthly
C00258,1,1,47.9,0.8,1,2,monthly
C00259,0,0,60.0,2.2,0,0,annual
C00260,0,0,51.2,3.6,1,2,monthly
C00261,1,0,60.0,7.7,0,1,annual
C00262,1,0,60.0,2.5,1,1,monthly
C00263,1,0,60.0,1.6,1,0,monthly
C00264,0,1,60.0,2.4,0,0,monthly
C00265,1,1,60.0,2.5,1,0,monthly
C00266,0,0,48.5,3.1,1,2,monthly
C00267,0,1,60.0,11.3,1,2,monthly
C00268,0,1,60.0,2.9,1,0,monthly
C00269,0,1,60.0,0.4,1,1,annual
C00270,0,1,49.2,4.1,0,1,monthly
C00271,1,0,60.0,3.0,1,1,monthly
C00272,0,0,60.0,2.7,1,0,annual
C00273,1,1,60.0,5.7,0,1,monthly
C00274,0,0,52.7,5.0,1,0,monthly
C00275,0,0,60.0,1.0,1,1,monthly
C00276,1,0,60.0,2.3,1,1,monthly
C00277,1,0,54.7,0.7,0,1,monthly
C00278,0,0,60.0,0.6,0,0,monthly
C00279,1,1,45.1,0.9,0,0,monthly
C00280,0,0,48.0,3.2,1,1,monthly
C00281,0,1,60.0,4.6,1,0,monthly
C00282,1,0,60.0,4.7,0,1,monthly
C00283,1,1,60.0,2.5,0,2,monthly
C00284,0,1,60.0,1.1,1,0,monthly
C00285,1,0,60.0,1.5,0,0,annual
C00286,1,1,48.2,4.1,0,1,annual
C00287,1,1,60.0,0.5,1,0,annual
C00288,0,0,32.0,2.9,1,0,annual
C00289,1,1,60.0,0.8,1,0,monthly
C00290,1,1,60.0,3.2,1,1,monthly
C00291,0,1,60.0,4.2,0,0,monthly
C00292,1,1,60.0,1.6,1,0,monthly
C00293,1,1,60.0,0.6,0,0,monthly
C00294,0,0,60.0,2.0,0,0,monthly
C00295,1,1,60.0,2.6,0,0,annual
C00296,0,1,58.8,1.2,0,0,annual
C00297,1,1,50.5,2.7,0,1,monthly
C00298,0,1,60.0,5.1,1,1,monthly
C00299,1,1,60.0,7.4,1,1,monthly
C00300,1,0,60.0,1.6,0,2,annual
C00301,1,1,42.2,5.9,1,0,monthly
C00302,1,1,41.5,3.9,1,2,monthly
C00303,1,0,60.0,5.1,0,0,annual
C00304,1,1,60.0,3.8,0,0,monthly
C00305,1,1,60.0,8.0,0,0,monthly
C00306,0,1,60.0,1.0,0,0,monthly
C00307,1,1,60.0,2.6,1,0,annual
C00308,0,1,57.5,1.3,0,0,annual
C00309,1,1,60.0,2.9,0,0,monthly
C00310,1,1,60.0,5.0,0,1,monthly
C00311,0,1,60.0,2.0,1,0,monthly
C00312,0,1,60.0,6.0,0,1,annual
C00313,1,1,55.0,4.9,1,0,monthly
C00314,0,0,60.0,2.5,0,2,monthly
C00315,0,0,60.0,0.7,1,0,monthly
C00316,1,1,60.0,2.4,1,0,monthly
C00317,1,1,60.0,9.3,1,1,monthly
C00318,0,0,60.0,4.0,1,0,monthly
C00319,1,1,60.0,3.8,1,1,monthly
C00320,0,0,57.1,0.5,1,0,annual
C00321,0,1,60.0,5.5,1,0,monthly
C00322,0,1,60.0,4.1,0,0,monthly
C00323,1,0,60.0,2.1,1,0,annual
C00324,0,0,60.0,2.1,1,0,monthly
C00325,1,1,60.0,5.6,0,0,monthly
C00326,1,0,58.5,2.8,1,1,monthly
C00327,0,1,60.0,4.5,1,1,annual
C00328,1,0,52.1,5.8,1,0,annual
C00329,0,1,60.0,1.4,1,0,monthly
C00330,1,1,60.0,2.3,1,0,annual
C00331,1,0,60.0,1.5,0,1,annual
C00332,1,1,60.0,2.9,0,1,monthly
C00333,1,1,60.0,0.6,1,1,monthly
C00334,0,1,60.0,3.5,1,0,monthly
C00335,0,1,54.2,3.3,1,3,monthly
C00336,0,0,60.0,2.1,0,2,monthly
C00337,1,1,54.0,3.3,0,1,annual
C00338,1,1,53.4,2.7,1,2,monthly
C00339,1,0,60.0,1.7,0,1,monthly
C00340,0,1,60.0,3.1,1,0,monthly
C00341,0,1,55.2,1.5,0,3,monthly
C00342,1,0,60.0,2.8,0,0,annual
C00343,1,0,60.0,0.6,0,1,monthly
C00344,0,1,41.6,2.7,0,1,monthly
C00345,0,1,60.0,2.3,1,0,monthly
C00346,0,0,54.6,4.9,0,0,monthly
C00347,0,1,60.0,2.5,0,0,monthly
C00348,1,0,60.0,1.0,1,1,annual
C00349,0,0,60.0,0.4,1,0,monthly
C00350,0,1,60.0,4.8,1,1,monthly
C00351,1,0,60.0,1.5,0,0,monthly
C00352,1,1,60.0,3.5,0,1,annual
C00353,1,1,60.0,1.9,1,0,monthly
C00354,1,1,60.0,2.1,1,0,annual
C00355,1,1,60.0,1.6,0,1,monthly
C00356,0,0,60.0,0.9,0,0,monthly
C00357,1,1,60.0,1.4,1,0,monthly
C00358,0,1,60.0,4.0,1,2,annual
C00359,1,1,60.0,2.7,1,0,monthly
C00360,0,0,60.0,3.1,0,1,monthly
C00361,0,1,60.0,1.7,0,0,monthly
C00362,0,1,60.0,1.9,0,0,annual
C00363,1,1,60.0,1.8,0,2,monthly
C00364,1,0,60.0,3.2,1,0,annual
C00365,0,1,59.6,3.8,0,1,annual
C00366,1,1,60.0,1.7,1,1,monthly
C00367,1,1,60.0,2.8,1,1,annual
C00368,0,0,56.9,1.8,0,1,monthly
C00369,1,1,60.0,1.3,1,0,annual
C00370,0,0,46.2,7.9,1,0,annual
C00371,1,1,60.0,1.4,1,1,annual
C00372,1,0,60.0,2.7,0,0,monthly
C00373,0,0,50.7,2.6,0,1,annual
C00374,0,0,60.0,1.8,0,1,monthly
C00375,1,0,60.0,1.6,0,0,monthly
C00376,0,1,56.2,1.1,0,1,monthly
C00377,1,0,60.0,3.8,1,1,monthly
C00378,1,1,60.0,6.6,0,0,annual
C00379,0,1,60.0,3.6,1,0,monthly
C00380,0,1,60.0,6.3,1,0,annual
C00381,0,0,60.0,3.3,1,1,monthly
C00382,1,1,60.0,1.3,0,1,annual
C00383,1,1,60.0,2.7,0,0,annual
C00384,0,0,60.0,2.7,1,0,annual
C00385,1,1,60.0,2.5,0,1,monthly
C00386,1,1,60.0,4.4,1,0,monthly
C00387,0,0,60.0,4.0,1,1,monthly
C00388,1,0,60.0,2.9,1,2,monthly
C00389,1,1,60.0,8.3,1,1,monthly
C00390,0,0,60.0,3.4,0,0,monthly
C00391,1,1,60.0,0.5,1,0,monthly
C00392,1,1,60.0,1.3,0,0,monthly
C00393,0,0,60.0,1.8,1,1,monthly
C00394,0,0,60.0,5.3,0,1,monthly
C00395,0,0,60.0,3.4,0,1,monthly
C00396,0,0,60.0,3.9,0,0,monthly
C00397,0,0,60.0,1.4,1,2,annual
C00398,0,0,60.0,2.5,1,1,monthly
C00399,1,1,60.0,2.2,1,2,monthly
C00400,1,0,60.0,7.2,0,1,monthly
C00401,0,0,49.2,1.6,1,1,annual
C00402,1,1,54.3,3.2,0,0,monthly
C00403,1,0,60.0,1.1,0,1,monthly
C00404,1,0,60.0,1.4,1,1,monthly
C00405,1,0,51.9,4.6,1,0,monthly
C00406,1,0,55.1,1.9,0,1,monthly
C00407,1,1,60.0,0.7,1,0,annual
C00408,0,1,60.0,1.7,1,0,annual
C00409,0,0,60.0,3.5,1,2,monthly
C00410,1,1,60.0,2.5,1,0,monthly
C00411,1,0,60.0,1.2,1,0,monthly
C00412,1,1,60.0,2.2,1,2,annual
C00413,1,0,41.4,1.4,0,0,annual
C00414,1,0,60.0,1.0,0,2,annual
C00415,1,0,59.5,1.8,0,1,monthly
C00416,1,0,60.0,1.6,1,1,annual
C00417,1,0,60.0,1.4,1,1,annual
C00418,1,0,60.0,1.9,1,0,annual
C00419,0,0,60.0,3.0,1,0,monthly
C00420,1,0,60.0,1.6,0,1,monthly
C00421,0,0,56.9,4.0,0,2,annual
C00422,1,0,51.5,1.2,0,2,monthly
C00423,1,1,50.8,0.7,1,0,monthly
C00424,0,0,60.0,2.9,0,3,monthly
C00425,1,0,60.0,3.0,0,0,annual
C00426,1,0,60.0,6.1,0,1,annual
C00427,1,1,60.0,10.9,0,0,monthly
C00428,1,1,60.0,0.7,0,0,annual
C00429,1,1,54.5,1.4,0,0,monthly
C00430,1,1,54.3,3.3,1,1,annual
C00431,1,1,60.0,0.6,0,0,monthly
C00432,0,0,60.0,3.7,1,0,monthly
C00433,0,0,60.0,6.3,0,1,monthly
C00434,0,1,60.0,1.6,1,0,monthly
C00435,1,0,60.0,1.6,1,1,monthly
C00436,1,1,60.0,2.4,1,0,annual
C00437,0,1,60.0,2.7,1,1,monthly
C00438,1,0,60.0,3.6,1,0,monthly
C00439,1,1,60.0,0.8,1,1,monthly
C00440,0,0,60.0,4.6,1,1,monthly
C00441,1,0,60.0,3.2,1,2,monthly
C00442,0,0,60.0,3.3,0,0,monthly
C00443,1,0,60.0,2.0,1,1,monthly
C00444,1,1,59.3,2.3,1,0,monthly
C00445,1,0,59.1,2.9,0,0,monthly
C00446,1,1,60.0,1.3,1,0,monthly
C00447,1,0,60.0,0.2,1,0,monthly
C00448,0,0,60.0,1.9,1,0,annual
C00449,0,1,60.0,0.6,1,0,monthly
C00450,1,0,60.0,1.2,0,1,annual
C00451,1,1,60.0,2.2,0,0,annual
C00452,0,0,60.0,3.6,1,2,monthly
C00453,0,0,59.6,7.2,0,0,monthly
C00454,0,0,60.0,4.4,0,2,monthly
C00455,1,0,60.0,1.5,1,0,monthly
C00456,0,1,60.0,0.7,0,1,annual
C00457,1,1,54.1,2.0,0,2,annual
C00458,1,1,60.0,5.0,0,0,annual
C00459,0,0,60.0,5.1,1,1,monthly
C00460,1,1,60.0,5.8,0,2,monthly
C00461,0,0,52.6,3.9,0,1,annual
C00462,0,0,60.0,0.8,1,1,monthly
C00463,0,1,60.0,2.0,0,1,monthly
C00464,1,1,60.0,1.4,1,2,annual
C00465,0,1,60.0,3.1,0,0,annual
C00466,0,1,60.0,6.0,1,0,monthly
C00467,1,0,60.0,5.8,1,1,monthly
C00468,0,1,60.0,0.8,1,0,annual
C00469,0,0,60.0,3.2,0,3,monthly
C00470,1,0,60.0,3.7,0,1,annual
C00471,1,0,47.9,2.2,1,1,monthly
C00472,0,0,60.0,2.3,0,1,monthly
C00473,1,1,59.2,0.9,1,0,monthly
C00474,0,0,58.6,3.2,0,1,monthly
C00475,1,1,60.0,2.0,1,0,monthly
C00476,1,1,60.0,1.5,1,0,annual
C00477,1,1,60.0,3.3,1,1,annual
C00478,0,0,60.0,1.7,0,2,monthly
C00479,0,0,60.0,3.4,0,0,monthly
C00480,1,0,60.0,2.5,1,1,monthly
C00481,0,1,60.0,1.3,1,0,monthly
C00482,1,0,60.0,3.3,0,2,monthly
C00483,1,1,59.5,5.9,1,1,monthly
C00484,1,1,56.0,4.4,0,1,monthly
C00485,0,0,60.0,2.4,1,1,monthly
C00486,1,1,48.1,2.2,0,1,annual
C00487,1,1,56.9,2.4,1,4,annual
C00488,0,0,53.5,1.5,1,0,monthly
C00489,1,1,39.1,4.2,1,1,annual
C00490,1,1,60.0,2.1,1,0,monthly
C00491,1,1,60.0,3.0,0,0,monthly
C00492,1,0,60.0,6.2,1,2,monthly
C00493,0,1,52.8,2.6,1,0,monthly
C00494,0,0,40.7,3.1,1,1,monthly
C00495,1,0,60.0,3.8,1,2,monthly
C00496,0,1,60.0,3.7,1,4,annual
C00497,1,1,47.5,2.9,0,0,monthly
C00498,1,0,60.0,2.9,1,1,annual
C00499,0,0,60.0,1.4,0,0,annual
C00500,0,1,60.0,4.1,0,2,monthly
C00501,1,1,60.0,2.5,1,0,monthly
C00502,1,1,60.0,2.4,0,0,monthly
C00503,1,0,59.2,1.3,0,0,monthly
C00504,1,0,60.0,1.4,0,3,monthly
C00505,1,0,54.1,3.4,0,0,monthly
C00506,0,0,60.0,6.6,1,1,monthly
C00507,0,1,60.0,0.7,1,0,monthly
C00508,0,1,60.0,1.9,0,2,monthly
C00509,1,0,38.2,1.1,1,1,monthly
C00510,0,0,50.1,4.4,1,2,annual
C00511,0,0,60.0,1.0,0,0,monthly
C00512,0,0,34.3,1.4,1,1,monthly
C00513,1,1,60.0,2.1,0,4,annual
C00514,0,1,54.4,7.0,1,0,monthly
C00515,1,1,60.0,2.5,0,1,monthly
C00516,1,1,60.0,3.0,0,1,monthly
C00517,0,0,60.0,3.3,0,0,annual
C00518,1,1,60.0,2.0,0,0,annual
C00519,1,1,60.0,0.5,1,1,monthly
C00520,1,0,60.0,4.1,0,0,annual
C00521,0,1,60.0,1.4,0,0,monthly
C00522,0,1,60.0,6.3,1,0,monthly
C00523,1,1,53.8,1.0,1,1,annual
C00524,0,0,57.9,2.1,0,0,annual
C00525,0,0,60.0,2.3,1,0,monthly
C00526,0,1,60.0,2.8,0,2,annual
C00527,0,0,60.0,3.0,1,0,monthly
C00528,1,1,60.0,0.6,0,0,monthly
C00529,0,1,52.9,2.1,1,0,monthly
C00530,1,1,60.0,1.8,1,1,annual
C00531,0,1,60.0,1.1,0,1,annual
C00532,0,1,60.0,4.4,1,0,monthly
C00533,0,1,60.0,4.5,1,1,annual
C00534,0,0,60.0,1.7,1,3,monthly
C00535,1,0,60.0,3.7,1,0,monthly
C00536,1,0,51.6,6.1,1,1,monthly
C00537,0,0,60.0,2.1,1,0,monthly
C00538,1,1,60.0,3.0,1,0,monthly
C00539,0,0,60.0,1.3,1,1,monthly
C00540,0,0,60.0,0.5,0,2,monthly
C00541,1,0,60.0,4.9,1,1,monthly
C00542,1,0,60.0,0.4,1,0,annual
C00543,1,1,60.0,1.6,1,0,annual
C00544,1,1,60.0,2.2,1,1,annual
C00545,1,0,60.0,0.9,0,0,annual
C00546,1,1,60.0,3.2,1,1,monthly
C00547,0,1,51.1,3.7,1,1,annual
C00548,0,1,51.9,3.1,1,2,monthly
C00549,1,1,60.0,2.9,1,2,annual
C00550,0,1,58.0,2.3,1,2,annual
C00551,0,0,60.0,2.0,0,1,monthly
C00552,1,1,53.3,4.9,1,0,annual
C00553,1,1,60.0,4.5,1,0,annual
C00554,1,1,60.0,1.2,0,1,annual
C00555,1,0,60.0,1.7,0,1,monthly
C00556,0,0,31.7,4.0,1,2,annual
C00557,1,1,60.0,3.3,1,1,annual
C00558,1,0,59.5,2.4,1,0,monthly
C00559,0,1,46.0,1.0,1,1,annual
C00560,1,0,41.3,2.7,0,1,monthly
C00561,1,1,60.0,1.7,1,0,annual
C00562,1,1,60.0,0.6,0,0,monthly
C00563,1,1,60.0,8.9,1,1,annual
C00564,1,1,60.0,0.3,0,2,annual
C00565,0,0,46.2,1.2,0,1,annual
C00566,0,0,60.0,5.0,1,0,monthly
C00567,0,0,60.0,5.9,0,0,monthly
C00568,1,0,53.6,3.0,1,1,monthly
C00569,0,0,60.0,2.8,0,2,annual
C00570,0,0,60.0,1.6,0,0,monthly
C00571,1,0,60.0,3.6,0,1,monthly
C00572,0,0,60.0,4.2,1,4,annual
C00573,0,0,51.6,6.4,0,1,monthly
C00574,1,0,60.0,0.8,0,1,annual
C00575,1,0,60.0,1.8,1,0,monthly
C00576,1,1,59.6,1.1,0,2,annual
C00577,1,1,60.0,2.3,0,0,monthly
C00578,1,1,51.9,3.7,1,1,monthly
C00579,1,0,60.0,2.8,0,0,monthly
C00580,0,1,60.0,2.6,0,1,annual
C00581,0,0,60.0,0.9,1,0,monthly
C00582,0,0,60.0,0.6,1,1,monthly
C00583,0,0,60.0,3.5,1,1,annual
C00584,0,0,60.0,1.6,1,1,monthly
C00585,1,1,60.0,2.1,0,0,annual
C00586,0,1,60.0,1.7,1,0,annual
C00587,0,0,60.0,0.8,1,1,monthly
