conversion_id,path,n_touchpoints,converted
98,Email|Social|Email,3,0
99,Display|Email,2,1
100,Display|Paid_Search|Email,3,1
101,Paid_Search,1,1
102,Social|Email|Social|Social,4,0
103,Display|Display|Paid_Search,3,1
104,Email|Social|Paid_Search|Paid_Search,4,1
105,Paid_Search,1,1
106,Email|Paid_Search|Social,3,1
107,Paid_Search,1,1
108,Social,1,1
109,Email|Social,2,0
110,Paid_Search|Email|Email|Paid_Search,4,1
111,Paid_Search,1,1
112,Display|Paid_Search,2,1
113,Display|Social|Social,3,0
114,Paid_Search,1,1
115,Paid_Search,1,1
116,Display|Email|Social,3,0
117,Social,1,0
118,Paid_Search,1,1
119,Display|Paid_Search,2,1
120,Paid_Search,1,1
121,Paid_Search,1,0
122,Social,1,0
123,Paid_Search|Display|Display|Paid_Search,4,1
124,Display|Social|Social,3,1
125,Social|Social|Paid_Search,3,1
126,Social|Social,2,1
127,Email|Paid_Search,2,1
128,Social|Paid_Search|Email|Email,4,0
129,Email|Paid_Search,2,0
130,Paid_Search|Display|Paid_Search|Email,4,1
131,Display|Paid_Search|Email,3,1
132,Email,1,0
133,Social|Email,2,1
134,Email|Paid_Search,2,0
135,Social|Email,2,0
136,Paid_Search|Email,2,1
137,Paid_Search|Email,2,0
138,Social|Paid_Search|Paid_Search,3,0
139,Social,1,1
140,Paid_Search|Paid_Search|Email,3,1
141,Paid_Search|Email|Paid_Search,3,1
142,Social|Paid_Search,2,1
143,Display|Social|Display|Paid_Search,4,1
144,Paid_Search|Email,2,0
145,Display|Email,2,0
146,Social|Email,2,0
147,Email|Display|Email|Paid_Search,4,1
148,Paid_Search|Paid_Search,2,0
149,Paid_Search,1,0
150,Social|Email,2,0
151,Social,1,0
152,Display|Paid_Search,2,1
153,Paid_Search|Social,2,1
154,Email|Paid_Search|Email|Social,4,1
155,Social|Paid_Search|Paid_Search,3,1
156,Email|Social|Social,3,1
157,Social|Paid_Search,2,0
158,Paid_Search|Paid_Search,2,0
159,Paid_Search|Paid_Search|Paid_Search,3,1
160,Social|Paid_Search|Paid_Search,3,0
161,Display|Email|Paid_Search,3,0
162,Paid_Search,1,1
163,Paid_Search,1,0
164,Social|Social|Paid_Search,3,1
165,Social,1,0
166,Email,1,0
167,Email,1,0
168,Paid_Search|Paid_Search,2,1
169,Social|Paid_Search,2,1
170,Email,1,1
171,Social|Social,2,1
172,Paid_Search,1,0
173,Display|Email|Social,3,0
174,Paid_Search,1,0
175,Social,1,1
176,Display|Paid_Search,2,0
177,Display|Email,2,1
178,Social,1,1
179,Display|Paid_Search,2,1
180,Email|Social|Social,3,1
181,Display|Paid_Search|Social,3,1
182,Paid_Search|Social|Paid_Search|Display,4,1
183,Display|Email|Email,3,1
184,Social|Display,2,0
185,Email,1,1
186,Social|Display|Email,3,0
187,Display|Email,2,1
188,Social|Paid_Search,2,1
189,Social|Paid_Search|Email,3,0
190,Display|Email,2,0
191,Paid_Search,1,0
192,Display|Email|Paid_Search,3,1
193,Display|Email,2,0
194,Paid_Search,1,1
195,Paid_Search,1,0
196,Email,1,0
197,Paid_Search,1,1
198,Social|Social|Social|Email,4,0
199,Paid_Search,1,0
200,Paid_Search|Display,2,0
201,Display|Social|Email|Paid_Search,4,0
202,Paid_Search,1,1
203,Display|Paid_Search,2,1
204,Display|Email|Email,3,0
205,Paid_Search|Paid_Search,2,0
206,Paid_Search|Paid_Search,2,0
207,Email,1,0
208,Social|Social|Social,3,1
209,Display|Display|Social,3,0
210,Display|Email|Social,3,1
211,Display|Email|Paid_Search,3,0
212,Email,1,0
213,Paid_Search|Paid_Search,2,0
214,Social,1,0
215,Paid_Search|Social|Email,3,1
216,Paid_Search|Email|Paid_Search|Email,4,1
217,Paid_Search|Paid_Search|Social,3,0
218,Display|Paid_Search|Email|Email,4,1
219,Paid_Search,1,0
220,Social|Display,2,0
221,Social|Email,2,1
222,Display|Display|Paid_Search,3,1
223,Display|Paid_Search,2,1
224,Social|Paid_Search|Paid_Search|Email,4,1
225,Social|Social|Email,3,0
226,Display|Paid_Search|Social,3,1
227,Display|Social|Paid_Search|Email,4,1
228,Social,1,1
229,Social|Email,2,1
230,Paid_Search,1,1
231,Social|Social,2,1
232,Paid_Search|Paid_Search,2,0
233,Social,1,0
234,Paid_Search,1,1
235,Paid_Search,1,0
236,Display|Paid_Search|Paid_Search,3,1
237,Display|Paid_Search,2,0
238,Display|Email|Paid_Search,3,1
239,Email|Social|Email,3,0
240,Paid_Search,1,1
241,Email,1,0
242,Email|Email|Social,3,1
243,Display|Paid_Search|Email|Social,4,0
244,Display|Paid_Search|Paid_Search,3,1
245,Paid_Search|Social|Social|Email,4,0
246,Social|Social|Display|Paid_Search,4,1
247,Display|Email,2,0
248,Paid_Search,1,0
249,Email,1,0
250,Email|Paid_Search,2,1
251,Paid_Search,1,0
252,Display,1,0
253,Paid_Search,1,1
254,Social|Social|Paid_Search,3,0
255,Paid_Search,1,0
256,Display|Paid_Search|Email,3,1
257,Paid_Search,1,1
258,Social,1,0
259,Email|Paid_Search,2,0
260,Email|Paid_Search,2,1
261,Paid_Search,1,1
262,Display|Email|Paid_Search,3,1
263,Social|Email|Social,3,1
264,Display|Social,2,1
265,Display|Paid_Search|Email|Social,4,1
266,Display|Display|Paid_Search,3,1
267,Display|Email|Social,3,1
268,Display|Email|Email,3,1
269,Paid_Search|Paid_Search|Social,3,1
270,Social|Paid_Search|Paid_Search,3,1
271,Paid_Search,1,1
272,Social|Email,2,1
273,Paid_Search|Paid_Search,2,0
274,Display|Email,2,0
275,Display|Paid_Search|Paid_Search,3,0
276,Email,1,1
277,Social,1,0
278,Email|Social|Paid_Search,3,0
279,Paid_Search,1,0
280,Social,1,0
281,Social,1,0
282,Social,1,0
283,Display|Email,2,0
284,Display|Email,2,1
285,Email,1,1
286,Paid_Search|Social|Social,3,0
287,Email,1,1
288,Social,1,0
289,Social|Paid_Search,2,0
290,Email,1,1
291,Display|Social,2,0
292,Paid_Search,1,1
293,Social|Paid_Search|Paid_Search,3,1
294,Email,1,1
295,Display|Social,2,0
296,Display|Social|Social,3,0
297,Paid_Search|Social,2,1
298,Social,1,0
299,Display|Email,2,0
300,Email|Social|Social|Email,4,1
301,Paid_Search|Email|Email,3,1
302,Email,1,0
303,Social|Paid_Search,2,0
304,Display|Email,2,1
305,Paid_Search|Social|Display|Email,4,0
306,Paid_Search|Paid_Search,2,1
307,Social|Social|Display,3,0
308,Email|Email|Paid_Search|Social,4,1
309,Paid_Search|Paid_Search,2,1
310,Email|Paid_Search,2,1
311,Social|Social,2,1
312,Email|Display|Paid_Search,3,1
313,Display|Paid_Search|Paid_Search,3,1
314,Paid_Search|Display|Social,3,0
315,Social|Social,2,1
316,Social|Social|Paid_Search,3,1
317,Display|Paid_Search|Email,3,1
318,Email,1,1
319,Social|Paid_Search,2,1
320,Display|Paid_Search,2,1
321,Paid_Search,1,1
322,Email|Email,2,0
323,Display|Email|Social|Paid_Search,4,1
324,Email|Email|Display|Social,4,0
325,Paid_Search|Social,2,1
326,Paid_Search|Email|Paid_Search,3,1
327,Paid_Search,1,1
328,Display|Paid_Search|Paid_Search,3,1
329,Display|Paid_Search|Paid_Search,3,1
330,Social|Paid_Search,2,0
331,Display|Paid_Search|Social,3,0
332,Display|Paid_Search|Paid_Search,3,0
333,Paid_Search,1,0
334,Social|Paid_Search|Display|Paid_Search,4,0
335,Email,1,0
336,Display|Email,2,0
337,Social|Display|Social,3,0
338,Social|Email|Social,3,0
339,Display|Social,2,0
340,Display|Paid_Search|Email,3,1
341,Paid_Search,1,0
342,Social,1,0
343,Social|Paid_Search,2,1
344,Paid_Search|Paid_Search|Email,3,0
345,Social|Paid_Search,2,0
346,Social|Email,2,0
347,Social|Paid_Search,2,0
348,Social,1,0
349,Paid_Search|Social,2,1
350,Display|Email|Paid_Search,3,1
351,Paid_Search,1,0
352,Email|Paid_Search|Paid_Search,3,1
353,Paid_Search|Paid_Search,2,0
354,Display|Social|Email|Paid_Search,4,1
355,Display|Paid_Search,2,1
356,Social|Paid_Search,2,1
357,Social|Paid_Search|Social,3,0
358,Email,1,1
359,Paid_Search|Paid_Search,2,1
360,Display|Social|Paid_Search,3,1
361,Display|Paid_Search|Display,3,1
362,Email,1,1
363,Email,1,1
364,Paid_Search|Paid_Search,2,0
365,Social,1,0
366,Email,1,0
367,Display|Paid_Search,2,0
368,Social|Paid_Search|Social|Social,4,1
369,Display|Paid_Search|Paid_Search|Paid_Search,4,0
370,Email|Paid_Search,2,0
371,Paid_Search|Social|Email,3,1
372,Email,1,0
373,Email|Email|Paid_Search,3,1
374,Email|Email|Paid_Search,3,1
375,Paid_Search,1,1
376,Email,1,0
377,Social|Display|Paid_Search,3,0
378,Email|Paid_Search,2,1
379,Social|Display|Email,3,1
380,Display|Email|Social,3,1
381,Email|Email|Email|Paid_Search,4,0
382,Display,1,1
383,Paid_Search,1,1
384,Display|Paid_Search,2,0
385,Email|Social|Display,3,0
386,Social|Paid_Search,2,1
387,Display|Email,2,1
388,Display|Email|Social,3,1
389,Display|Paid_Search,2,0
390,Social|Email,2,0
391,Paid_Search,1,1
392,Display|Social|Social,3,0
393,Display|Social,2,1
394,Paid_Search|Display|Paid_Search,3,1
395,Social|Email|Social,3,1
396,Paid_Search,1,0
397,Display|Email|Email|Email,4,0
398,Paid_Search|Paid_Search,2,1
399,Email|Display|Paid_Search,3,1
400,Display|Display|Paid_Search,3,1
401,Display|Paid_Search|Display|Email,4,0
402,Email,1,1
403,Email|Paid_Search|Paid_Search,3,1
404,Social|Paid_Search,2,0
405,Email,1,0
406,Social|Paid_Search|Paid_Search,3,0
407,Social,1,0
408,Paid_Search|Paid_Search,2,0
409,Display|Social|Email,3,1
410,Display|Social,2,0
411,Display|Social,2,1
412,Paid_Search|Paid_Search,2,1
413,Display|Email|Social,3,1
414,Paid_Search,1,1
415,Paid_Search,1,1
416,Social|Paid_Search,2,0
417,Paid_Search,1,0
418,Email|Paid_Search,2,0
419,Paid_Search|Social,2,1
420,Email|Display|Email,3,1
421,Paid_Search,1,0
422,Display|Email|Paid_Search,3,0
423,Paid_Search|Paid_Search|Social,3,1
424,Email|Paid_Search,2,1
425,Display|Paid_Search,2,0
426,Display|Social|Paid_Search,3,1
427,Display|Social,2,1
428,Paid_Search|Paid_Search|Paid_Search|Social,4,1
429,Social,1,1
430,Social|Email,2,0
431,Display|Email|Paid_Search,3,0
432,Display|Email,2,0
433,Social|Social|Social|Paid_Search,4,0
434,Social|Paid_Search,2,1
435,Social|Paid_Search|Paid_Search,3,1
436,Paid_Search,1,1
437,Display|Paid_Search|Paid_Search,3,0
438,Social,1,1
439,Display|Paid_Search,2,1
440,Email|Display|Paid_Search,3,1
441,Social|Social|Email|Email,4,1
442,Email|Paid_Search,2,1
443,Display|Email,2,1
444,Paid_Search,1,1
445,Display,1,0
446,Paid_Search,1,1
447,Social|Display,2,0
448,Social|Paid_Search,2,1
449,Email|Paid_Search,2,0
450,Email,1,1
451,Social|Display|Email,3,0
452,Display|Social,2,0
453,Paid_Search,1,1
454,Display|Email,2,0
455,Display|Email,2,1
456,Email,1,1
457,Display|Display|Paid_Search,3,1
458,Paid_Search|Email|Email|Paid_Search,4,0
459,Paid_Search,1,1
460,Display,1,1
461,Display|Paid_Search|Paid_Search|Email,4,1
462,Email,1,0
463,Display|Social|Email,3,1
464,Social|Paid_Search,2,1
465,Email,1,1
466,Social,1,0
467,Paid_Search|Social|Paid_Search,3,1
468,Display|Display|Paid_Search,3,1
469,Social|Social,2,0
470,Paid_Search|Email,2,1
471,Display|Social,2,1
472,Display|Social|Email,3,0
473,Email,1,1
474,Social,1,1
475,Social|Social|Paid_Search,3,0
476,Paid_Search,1,0
477,Paid_Search|Paid_Search,2,1
478,Display|Display|Paid_Search,3,1
479,Paid_Search|Social|Social|Social,4,1
480,Email,1,0
481,Display|Email|Paid_Search|Display,4,1
482,Paid_Search,1,0
483,Social|Paid_Search,2,1
484,Email,1,1
485,Display|Email|Paid_Search,3,1
486,Display|Paid_Search|Paid_Search,3,0
487,Social|Social|Social,3,0
488,Paid_Search,1,1
489,Social,1,1
490,Social|Paid_Search,2,1
491,Email|Paid_Search,2,1
492,Display|Social,2,0
493,Display|Email,2,1
494,Email,1,0
495,Paid_Search,1,1
496,Paid_Search|Paid_Search,2,1
497,Display|Display|Email|Paid_Search,4,1
498,Paid_Search|Paid_Search,2,1
499,Display|Paid_Search,2,0
500,Paid_Search,1,1
501,Paid_Search,1,1
502,Email,1,0
503,Display|Paid_Search,2,1
504,Display|Email,2,1
505,Paid_Search,1,1
506,Email|Social|Email|Paid_Search,4,1
507,Email,1,1
508,Paid_Search,1,1
509,Paid_Search,1,1
510,Social|Display|Email|Display,4,0
511,Social|Paid_Search,2,0
512,Social|Display|Display|Email,4,0
513,Display|Email,2,0
514,Social,1,0
515,Social,1,1
516,Paid_Search,1,0
517,Social,1,0
518,Paid_Search|Paid_Search|Paid_Search,3,1
519,Paid_Search|Social|Paid_Search,3,0
520,Display|Social|Email|Social,4,1
521,Social|Social,2,0
522,Social,1,1
523,Paid_Search,1,1
524,Display|Social|Social|Paid_Search,4,0
525,Paid_Search,1,0
526,Email|Paid_Search,2,1
527,Paid_Search,1,1
528,Email,1,1
529,Display|Email,2,0
530,Social|Social|Email,3,1
531,Paid_Search|Paid_Search,2,1
532,Social|Paid_Search|Paid_Search|Paid_Search,4,1
533,Display|Email|Paid_Search,3,1
534,Social|Email,2,0
535,Paid_Search,1,1
536,Social,1,0
537,Email,1,1
538,Social,1,1
539,Display|Social|Paid_Search,3,0
540,Display|Social|Email,3,0
541,Display|Paid_Search|Email,3,1
542,Display|Email,2,0
543,Display|Social|Email,3,0
544,Social|Email|Paid_Search,3,1
545,Display|Paid_Search|Paid_Search,3,1
546,Paid_Search|Email|Display|Social,4,1
547,Display|Paid_Search|Paid_Search,3,0
548,Display|Social|Paid_Search,3,0
549,Display|Email|Paid_Search,3,1
550,Social|Social,2,0
551,Social|Email|Paid_Search,3,1
552,Paid_Search|Paid_Search,2,0
553,Display|Social,2,0
554,Paid_Search,1,1
555,Display|Paid_Search,2,0
556,Paid_Search,1,0
557,Social|Social|Paid_Search,3,1
558,Paid_Search,1,0
559,Display|Paid_Search|Display|Paid_Search,4,0
560,Display|Paid_Search,2,1
561,Social|Email|Social|Social,4,0
562,Display|Paid_Search|Paid_Search,3,0
563,Display|Social|Paid_Search,3,1
564,Social,1,1
565,Display|Paid_Search,2,0
566,Paid_Search|Social|Paid_Search|Paid_Search,4,0
567,Social|Social|Email|Paid_Search,4,1
568,Social|Email,2,1
569,Email,1,1
570,Paid_Search,1,1
571,Display|Paid_Search|Social,3,0
572,Social|Social,2,0
573,Email|Social|Paid_Search,3,1
574,Paid_Search,1,0
575,Display|Social|Paid_Search,3,1
576,Display|Email,2,1
577,Social|Paid_Search|Paid_Search,3,1
578,Display|Paid_Search,2,0
579,Display|Paid_Search,2,1
580,Email,1,0
581,Display|Paid_Search|Paid_Search,3,1
582,Social|Paid_Search,2,0
583,Social|Display|Email,3,0
584,Display|Social|Social|Paid_Search,4,1
585,Email,1,0
586,Social|Paid_Search|Social,3,0
587,Email,1,1
588,Email,1,0
589,Social|Paid_Search,2,1
590,Paid_Search,1,1
591,Social|Paid_Search,2,1
592,Display|Social|Social|Social,4,0
593,Display|Social|Paid_Search,3,1
594,Paid_Search|Social,2,1
595,Paid_Search|Social,2,0
596,Social,1,0
597,Email,1,0
598,Display|Paid_Search,2,1
599,Email|Email|Email,3,1
600,Email|Display|Paid_Search,3,0
601,Paid_Search|Paid_Search,2,1
602,Paid_Search|Paid_Search|Social|Social,4,0
603,Display|Social,2,0
604,Paid_Search|Paid_Search,2,1
605,Display|Paid_Search|Email,3,1
606,Email,1,0
607,Paid_Search|Email,2,1
608,Email|Email|Paid_Search,3,1
609,Social|Display|Paid_Search,3,0
610,Display|Email,2,0
611,Social|Paid_Search,2,1
612,Social|Paid_Search,2,1
613,Email|Paid_Search|Email|Paid_Search,4,1
614,Social|Paid_Search|Social,3,0
615,Social|Paid_Search,2,1
616,Social|Social,2,0
617,Display|Paid_Search|Paid_Search,3,1
618,Paid_Search,1,1
619,Social|Paid_Search|Social,3,0
620,Social|Display|Email,3,0
621,Social|Paid_Search|Social,3,0
622,Display|Paid_Search|Paid_Search,3,1
623,Paid_Search,1,1
624,Display|Paid_Search,2,1
625,Display|Paid_Search|Email,3,1
626,Display|Social,2,0
627,Display|Email|Social|Paid_Search,4,0
628,Social|Paid_Search|Display|Social,4,0
629,Display|Email,2,1
630,Display|Display|Paid_Search,3,1
631,Display|Social,2,1
632,Display|Paid_Search,2,0
633,Display|Email,2,0
634,Display|Social|Display,3,0
635,Social|Social,2,0
636,Social|Paid_Search,2,1
637,Paid_Search|Social,2,0
638,Social|Paid_Search|Email,3,0
639,Paid_Search|Social|Display|Email,4,1
640,Paid_Search|Display,2,0
641,Display|Social|Paid_Search,3,1
642,Paid_Search,1,1
643,Display|Social|Paid_Search|Display,4,1
644,Paid_Search,1,1
645,Display|Paid_Search,2,1
646,Display|Paid_Search,2,1
647,Social|Social,2,0
648,Paid_Search|Social,2,1
649,Paid_Search|Paid_Search,2,1
650,Email|Email,2,0
651,Display|Paid_Search|Email,3,0
652,Social|Social|Paid_Search,3,0
653,Email|Email,2,1
654,Email|Email,2,1
655,Display,1,0
656,Display|Paid_Search,2,0
657,Display|Paid_Search,2,1
658,Paid_Search,1,0
659,Email,1,1
660,Display|Paid_Search,2,1
661,Display|Email,2,1
662,Email,1,1
663,Paid_Search,1,0
664,Social|Social|Paid_Search,3,1
665,Display|Paid_Search,2,1
666,Email|Email|Paid_Search|Paid_Search,4,1
667,Display|Display,2,0
668,Paid_Search,1,1
669,Email|Social,2,0
670,Paid_Search,1,1
671,Display|Paid_Search,2,1
672,Email,1,1
673,Social|Paid_Search,2,1
674,Paid_Search|Paid_Search|Email,3,1
675,Display|Paid_Search,2,0
676,Paid_Search,1,1
677,Display|Paid_Search|Social|Email,4,0
678,Display|Paid_Search|Paid_Search|Email,4,0
679,Email,1,0
680,Social|Paid_Search,2,1
681,Paid_Search,1,0
682,Paid_Search,1,1
683,Social|Display,2,1
684,Display|Email,2,0
685,Display|Email,2,1
686,Display|Paid_Search|Email,3,1
687,Paid_Search,1,1
688,Paid_Search|Social|Email,3,1
689,Social|Social,2,1
690,Display|Paid_Search,2,0
691,Display|Social|Email,3,1
692,Paid_Search|Email,2,0
693,Social,1,0
694,Paid_Search,1,1
695,Paid_Search|Social|Social,3,0
696,Display|Display|Paid_Search,3,1
697,Paid_Search|Paid_Search,2,1
698,Social|Social,2,1
699,Display|Social|Paid_Search,3,1
700,Paid_Search,1,1
701,Display|Paid_Search,2,0
702,Email|Paid_Search,2,0
703,Email,1,1
704,Social|Paid_Search,2,1
705,Display|Paid_Search|Social|Email,4,0
706,Paid_Search|Social|Paid_Search,3,1
707,Display|Social|Social,3,0
708,Display|Social,2,1
709,Social|Paid_Search,2,0
710,Social|Social,2,0
711,Social|Display|Display|Email,4,1
712,Email|Social|Social,3,0
713,Paid_Search|Social|Email,3,1
714,Social|Social|Social|Email,4,1
715,Social|Paid_Search,2,1
716,Display|Social|Email,3,0
717,Display,1,0
718,Paid_Search|Paid_Search|Email,3,1
719,Paid_Search,1,1
720,Paid_Search,1,0
721,Paid_Search|Paid_Search|Paid_Search,3,1
722,Email,1,0
723,Paid_Search,1,1
724,Social|Paid_Search,2,1
725,Email,1,0
726,Display|Social,2,1
727,Social|Social|Email,3,1
728,Display|Paid_Search|Paid_Search,3,0
729,Paid_Search|Paid_Search|Display|Paid_Search,4,1
730,Email|Paid_Search,2,1
731,Display|Paid_Search|Paid_Search,3,1
732,Paid_Search|Social|Paid_Search,3,0
733,Social,1,0
734,Paid_Search,1,1
735,Email,1,0
736,Social|Email,2,1
737,Social|Display|Paid_Search,3,0
738,Social,1,0
739,Social|Paid_Search,2,1
740,Display|Social|Email|Email,4,1
741,Paid_Search|Display|Email,3,0
742,Email,1,1
743,Display,1,1
744,Display|Email|Social,3,0
745,Social|Email,2,1
746,Display|Paid_Search,2,1
747,Social,1,0
748,Social|Paid_Search|Paid_Search|Paid_Search,4,1
749,Social,1,1
750,Email,1,0
751,Email,1,1
752,Paid_Search,1,1
753,Display|Paid_Search,2,1
754,Display|Email,2,0
755,Display|Paid_Search|Email,3,1
756,Paid_Search|Email,2,1
757,Display|Paid_Search|Paid_Search,3,1
758,Display|Email,2,1
759,Email,1,1
760,Display|Display,2,0
761,Paid_Search|Social,2,1
762,Paid_Search,1,1
763,Paid_Search,1,1
764,Display|Email|Social,3,1
765,Social|Social,2,1
766,Paid_Search|Social,2,0
767,Display|Social|Email,3,1
768,Paid_Search,1,1
769,Display|Paid_Search,2,1
770,Paid_Search|Paid_Search,2,1
771,Email|Paid_Search,2,1
772,Display|Paid_Search,2,1
773,Display|Email,2,1
774,Email|Paid_Search,2,1
775,Social|Email,2,0
776,Display|Paid_Search,2,1
777,Social|Social|Display|Paid_Search,4,1
778,Social|Social,2,0
779,Social|Paid_Search,2,0
780,Display|Paid_Search,2,0
781,Display|Paid_Search|Social|Display,4,1
782,Paid_Search|Paid_Search,2,1
783,Social|Social|Paid_Search,3,1
784,Display|Social,2,1
785,Display|Paid_Search,2,1
786,Display|Paid_Search,2,0
787,Display|Paid_Search|Email,3,1
788,Social|Paid_Search|Email,3,0
789,Social|Paid_Search|Social|Email,4,0
790,Email|Display|Email,3,1
791,Paid_Search|Paid_Search|Paid_Search|Email,4,1
792,Social,1,0
793,Social|Paid_Search,2,1
794,Display|Social|Email,3,0
795,Social|Display,2,1
796,Display|Paid_Search,2,1
797,Display|Social,2,1
798,Social|Paid_Search,2,1
799,Paid_Search|Paid_Search,2,1
800,Paid_Search|Paid_Search|Social,3,1
801,Display|Email,2,1
802,Paid_Search,1,1
803,Display|Paid_Search,2,1
804,Paid_Search,1,1
805,Paid_Search,1,1
806,Email,1,0
807,Email|Paid_Search,2,1
808,Social|Paid_Search,2,1
809,Email,1,1
810,Paid_Search|Paid_Search|Email|Paid_Search,4,0
811,Email,1,1
812,Display|Paid_Search,2,0
813,Display|Paid_Search,2,0
814,Paid_Search|Paid_Search|Social,3,1
815,Social|Social,2,1
816,Email,1,0
817,Display|Social|Email|Paid_Search,4,1
818,Display|Paid_Search,2,1
819,Display|Paid_Search,2,1
820,Email,1,0
821,Display|Social|Social,3,0
822,Email|Paid_Search,2,1
823,Social|Email,2,0
824,Social,1,1
825,Display|Paid_Search,2,1
826,Email,1,0
827,Display|Social|Email,3,0
828,Paid_Search,1,1
829,Paid_Search,1,1
830,Paid_Search|Paid_Search,2,1
831,Social|Paid_Search,2,1
832,Display|Email,2,0
833,Paid_Search,1,1
834,Display|Display|Email,3,0
835,Email,1,1
836,Email,1,1
837,Social|Email|Email,3,1
838,Display|Paid_Search|Email|Email,4,0
839,Display|Paid_Search|Paid_Search,3,1
840,Social,1,1
841,Display|Email,2,1
842,Email,1,0
843,Display|Email,2,0
844,Social|Paid_Search,2,1
845,Paid_Search,1,0
846,Display|Email,2,0
847,Email,1,1
848,Display|Social,2,1
849,Display|Email,2,0
850,Display|Display|Paid_Search,3,1
851,Display|Paid_Search|Social,3,1
852,Email|Social|Email,3,1
853,Email|Email|Paid_Search,3,1
854,Display|Paid_Search|Email,3,0
855,Display|Display|Paid_Search,3,1
856,Paid_Search|Email|Display,3,1
857,Paid_Search,1,0
858,Paid_Search|Paid_Search,2,1
859,Social|Paid_Search|Social|Paid_Search,4,1
860,Paid_Search|Display,2,1
861,Email,1,1
862,Social|Social|Email,3,1
863,Social|Email,2,0
864,Social|Paid_Search|Paid_Search|Email,4,1
865,Social|Paid_Search,2,1
866,Email,1,0
867,Paid_Search|Social,2,0
868,Paid_Search|Display|Paid_Search,3,1
869,Paid_Search,1,0
870,Social|Social,2,0
871,Display|Email|Paid_Search,3,1
872,Display|Social|Display|Paid_Search,4,0
873,Email,1,0
874,Display|Paid_Search,2,1
875,Paid_Search,1,1
876,Display|Email,2,1
877,Paid_Search|Display,2,1
878,Social|Email,2,1
879,Paid_Search|Paid_Search,2,1
880,Social|Paid_Search|Display|Email,4,1
881,Display|Email,2,1
882,Paid_Search,1,1
883,Social|Social,2,0
884,Display|Paid_Search|Social,3,1
885,Paid_Search,1,1
886,Display|Paid_Search|Paid_Search|Paid_Search,4,1
887,Paid_Search|Paid_Search|Display|Email,4,1
888,Social|Paid_Search,2,0
889,Display|Email|Paid_Search|Social,4,1
890,Paid_Search|Social,2,0
891,Paid_Search|Paid_Search,2,0
892,Display|Paid_Search,2,0
893,Social,1,1
894,Social|Paid_Search|Social,3,0
895,Paid_Search|Social,2,1
